text,emotion,act,topic
the kitchen stinks __eou__ i will throw out the garbage __eou__,2 0,3 4,1
so dick how about getting some coffee for tonight __eou__ coffee i don t honestly like that kind of stuff __eou__ come on you can at least try a little besides your cigarette __eou__ what s wrong with that cigarette is the thing i go crazy for __eou__ not for me dick __eou__,4 2 0 1 0,3 4 3 1 1,1
are things still going badly with your houseguest __eou__ getting worse now he s eating me out of house and home i ve tried talking to him but it all goes in one ear and out the other he makes himself at home which is fine but what really gets me is that yesterday he walked into the living room in the raw and i had company over that was the last straw __eou__ leo i really think you re beating around the bush with this guy i know he used to be your best friend in college but i really think it s time to lay down the law __eou__ you re right everything is probably going to come to a head tonight i ll keep you informed __eou__,0 1 0 0,2 1 3 4,1
would you mind waiting a while __eou__ well how long will it be __eou__ i am not sure but i will get a table ready as fast as i can __eou__ ok we will wait __eou__,0 0 0 4,3 2 1 1,1
are you going to the annual party i can give you a ride if you need one __eou__ thanks a lot that is the favor i was going to ask you for __eou__ the pleasure is mine __eou__,0 4 4,3 4 1,1
isn t he the best instructor i think he s so hot wow i really feel energized don t you __eou__ i swear i m going to kill you for this __eou__ what s wrong didn t you think it was fun __eou__ oh yeah i had a blast i love sweating like a pig with a bunch of pot bellies who all smell bad sorry i m just not into this health kick __eou__ oh no get off it it wasn t such a killer class you just have to get into it like they say no pain no gain __eou__ i am wiped out thank you __eou__ look next time get yourself some comfy shoes you re going to come back again with me aren t you __eou__ never but thank you for inviting me __eou__ come on you ll feel better after we hit the showers __eou__,4 2 6 2 0 0 0 0 0,2 1 2 1 3 4 3 4 3,1
can i take your order now or do you still want to look at the menu __eou__ well i want a fillet steak medium but my little girl does not care for steak could she have something else instead __eou__ certainly how about spaghetti with clams and shrimps __eou__ sounds delicious ok she will try that __eou__,0 0 0 4,2 2 3 4,1
can you manage chopsticks __eou__ why not see __eou__ good mastery how do you like our chinese food __eou__ oh great it is delicious you see i am already putting on weight there is one thing i do not like however message __eou__ what is wrong with message it helps to bring out the taste of the food __eou__ according to some studies it may cause cancer __eou__ oh do not let that worry you if that were true china would not have such a large population __eou__ i just happen to have a question for you guys why do the chinese cook the vegetables you see what i mean is that most vitamin are destroyed when heated __eou__ i do not know exactly it is a tradition maybe it is for sanitary reasons __eou__,0 0 4 4 6 0 0 0 0,2 1 2 1 2 1 1 2 1,1
i am exhausted __eou__ okay let us go home __eou__,0 0,3 4,1
good evening welcome to cherrys do you have a reservation __eou__ no we do not __eou__ how many of you please __eou__ six including two kids __eou__ i am afraid all the big tables are taken __eou__,0 0 0 0 0,2 1 2 1 1,1
what kind of food do you like __eou__ i like chinese food __eou__ but your american __eou__ we have a lot of chinese restaurants in america __eou__,0 4 6 0,2 1 2 1,1
would you like to take a look at the menu sir __eou__ yes thank you __eou__ would you care for a drink before you order __eou__ a glass of qingdao beer __eou__ yes sir i will bring it over have you decided what you would like sir __eou__ will you make some recommendation __eou__,0 4 0 0 0 0,3 4 3 3 4 3,1
can i help you sir what do you need __eou__ i need a packet of cigarettes please __eou__ of course sir no problem __eou__ thanks __eou__,0 0 0 4,2 3 4 1,1
